word,pronunciation,meaning,partOfSpeech,example
about,/əˈbaʊt/,เกี่ยวกับ,preposition,"Tell me about your family"
above,/əˈbʌv/,เหนือ,preposition,"The plane flew above the clouds"
accept,/əkˈsept/,ยอมรับ,verb,"I accept your invitation"
accident,/ˈæksɪdənt/,อุบัติเหตุ,noun,"There was a car accident"
account,/əˈkaʊnt/,บัญชี,noun,"I opened a bank account"
across,/əˈkrɒs/,ข้าม,preposition,"Walk across the street"
act,/ækt/,การกระทำ,noun,"That was a kind act"
action,/ˈækʃən/,การกระทำ,noun,"Take action now"
activity,/ækˈtɪvɪti/,กิจกรรม,noun,"Sports activity is fun"
actor,/ˈæktər/,นักแสดง,noun,"He is a famous actor"
actually,/ˈæktʃuəli/,จริงๆ แล้ว,adverb,"Actually, I disagree"
add,/æd/,เพิ่ม,verb,"Add sugar to the tea"
address,/əˈdres/,ที่อยู่,noun,"What's your address?"
adult,/ˈædʌlt/,ผู้ใหญ่,noun,"Adults only event"
advice,/ədˈvaɪs/,คำแนะนำ,noun,"Give me some advice"
afraid,/əˈfreɪd/,กลัว,adjective,"I'm afraid of spiders"
after,/ˈɑːftə/,หลังจาก,preposition,"After dinner we watched TV"
afternoon,/ˌɑːftərˈnuːn/,บ่าย,noun,"See you this afternoon"
again,/əˈɡen/,อีกครั้ง,adverb,"Please say that again"
against,/əˈɡenst/,ต่อต้าน,preposition,"Against the rules"
age,/eɪdʒ/,อายุ,noun,"What age are you?"
ago,/əˈɡəʊ/,ที่แล้ว,adverb,"I met him two years ago"
agree,/əˈɡriː/,เห็นด้วย,verb,"I agree with you"
air,/er/,อากาศ,noun,"Fresh air is important"
airport,/ˈerpɔːrt/,สนามบิน,noun,"Meet me at the airport"
alive,/əˈlaɪv/,มีชีวิต,adjective,"The fish is still alive"
allow,/əˈlaʊ/,อนุญาต,verb,"Allow me to help"
almost,/ˈɔːlmoʊst/,เกือบ,adverb,"Almost finished"
alone,/əˈloʊn/,คนเดียว,adjective,"I live alone"
along,/əˈlɒŋ/,ตาม,preposition,"Walk along the river"
already,/ɔːlˈredi/,แล้ว,adverb,"I already know"
although,/ɔːlˈðoʊ/,แม้ว่า,conjunction,"Although it's raining"
always,/ˈɔːlweɪz/,เสมอ,adverb,"Always be kind"
among,/əˈmʌŋ/,ในหมู่,preposition,"Among friends"
angry,/ˈæŋɡri/,โกรธ,adjective,"Don't be angry"
animal,/ˈænɪməl/,สัตว์,noun,"Wild animal"
another,/əˈnʌðər/,อีกอัน,determiner,"Another chance"
answer,/ˈænsər/,คำตอบ,noun,"The right answer"
any,/ˈeni/,ใดๆ,determiner,"Do you have any questions?"
anyone,/ˈeniˌwʌn/,ใครก็ได้,pronoun,"Anyone can join"
anything,/ˈeniˌθɪŋ/,อะไรก็ได้,pronoun,"Anything is possible"
anywhere,/ˈeniˌwer/,ที่ไหนก็ได้,adverb,"Go anywhere you want"
appear,/əˈpɪr/,ปรากฏ,verb,"Stars appear at night"
area,/ˈeriə/,พื้นที่,noun,"Large area"
argue,/ˈɑːrɡjuː/,โต้เถียง,verb,"Don't argue with me"
arm,/ɑːrm/,แขน,noun,"Broken arm"
army,/ˈɑːrmi/,กองทัพ,noun,"Join the army"
around,/əˈraʊnd/,รอบๆ,preposition,"Look around"
arrive,/əˈraɪv/,มาถึง,verb,"Arrive on time"
art,/ɑːrt/,ศิลปะ,noun,"Modern art"
article,/ˈɑːrtɪkəl/,บทความ,noun,"News article"
artist,/ˈɑːrtɪst/,ศิลปิน,noun,"Famous artist"
as,/æz/,เป็น,conjunction,"He works as a teacher"
ask,/æsk/,ถาม,verb,"Ask a question"
asleep,/əˈsliːp/,หลับ,adjective,"The baby is asleep"
at,/æt/,ที่,preposition,"Meet me at the station"
attack,/əˈtæk/,โจมตี,verb,"Attack the enemy"
attention,/əˈtenʃən/,ความสนใจ,noun,"Pay attention"
aunt,/ɑːnt/,ป้า,noun,"My aunt lives in London"
autumn,/ˈɔːtəm/,ฤดูใบไม้ร่วง,noun,"Leaves fall in autumn"
available,/əˈveɪləbəl/,มีอยู่,adjective,"Available now"
avoid,/əˈvɔɪd/,หลีกเลี่ยง,verb,"Avoid trouble"
away,/əˈweɪ/,ไป,adverb,"Go away"
baby,/ˈbeɪbi/,ทารก,noun,"Cute baby"
back,/bæk/,กลับ,adverb,"Come back"
bad,/bæd/,แย่,adjective,"Bad weather"
bag,/bæɡ/,กระเป๋า,noun,"Shopping bag"
