word,pronunciation,meaning,partOfSpeech,example
abandon,/əˈbændən/,ทิ้ง ละทิ้ง,verb,They had to abandon their car in the snow.
abolish,/əˈbɒlɪʃ/,ยกเลิก ล้มล้าง,verb,The government decided to abolish the tax.
abstract,/ˈæbstrækt/,นามธรรม เป็นนามธรรม,adjective,Love is an abstract concept.
abundant,/əˈbʌndənt/,อุดมสมบูรณ์ มากมาย,adjective,The region has abundant natural resources.
accelerate,/əkˈseləreɪt/,เร่งความเร็ว เร่งรีบ,verb,The car began to accelerate down the highway.
accommodate,/əˈkɒmədeɪt/,รองรับ ให้ที่พัก,verb,The hotel can accommodate 200 guests.
accumulate,/əˈkjuːmjəleɪt/,สะสม รวบรวม,verb,Snow began to accumulate on the ground.
acknowledge,/əkˈnɒlɪdʒ/,ยอมรับ รับทราบ,verb,He acknowledged his mistake.
acquire,/əˈkwaɪə/,ได้มา ได้รับ,verb,She acquired the skill through practice.
adequate,/ˈædɪkwət/,เพียงพอ เหมาะสม,adjective,The salary is adequate for basic needs.
adjacent,/əˈdʒeɪsənt/,ติดกัน อยู่ข้างๆ,adjective,The hotel is adjacent to the airport.
advocate,/ˈædvəkeɪt/,สนับสนุน ผู้สนับสนุน,verb/noun,She advocates for animal rights.
aesthetic,/iːsˈθetɪk/,เกี่ยวกับความงาม,adjective,The building has great aesthetic appeal.
aggregate,/ˈæɡrɪɡət/,รวม ผลรวม,verb/noun,The aggregate score was impressive.
allocate,/ˈæləkeɪt/,จัดสรร แบ่งปัน,verb,They allocated funds for the project.
ambiguous,/æmˈbɪɡjuəs/,คลุมเครือ กำกวม,adjective,His answer was ambiguous.
amplify,/ˈæmplɪfaɪ/,ขยาย เพิ่มขนาด,verb,The microphone amplifies your voice.
analogous,/əˈnæləɡəs/,คล้ายคลึง เปรียบเทียบได้,adjective,This situation is analogous to what happened before.
anticipate,/ænˈtɪsɪpeɪt/,คาดหวัง คาดการณ์,verb,We anticipate good results.
arbitrary,/ˈɑːbɪtrəri/,ตามอำเภอใจ ไม่มีเหตุผล,adjective,The decision seemed arbitrary.
articulate,/ɑːˈtɪkjələt/,พูดชัดเจน แสดงออกได้ดี,adjective/verb,She is very articulate in her presentations.
assert,/əˈsɜːt/,ยืนยัน อ้างสิทธิ์,verb,He asserted his innocence.
assess,/əˈses/,ประเมิน ตีราคา,verb,Teachers assess students' progress.
attribute,/əˈtrɪbjuːt/,คุณลักษณะ ส่วนประกอb,noun/verb,Patience is an important attribute.
autonomous,/ɔːˈtɒnəməs/,อิสระ ปกครองตนเอง,adjective,The region became autonomous.
bias,/ˈbaɪəs/,อคติ ความลำเอียง,noun,The judge showed no bias.
bulk,/bʌlk/,จำนวนมาก ส่วนใหญ่,noun,The bulk of the work is finished.
cease,/siːs/,หยุด ยุติ,verb,The rain ceased at midnight.
coherent,/kəʊˈhɪərənt/,สอดคล้อง เป็นระบบ,adjective,His argument was coherent and logical.
coincide,/ˌkəʊɪnˈsaɪd/,เกิดขึ้นพร้อมกัน ตรงกัน,verb,The meeting coincides with my vacation.
collaborate,/kəˈlæbəreɪt/,ร่วมมือ ทำงานร่วมกัน,verb,Scientists collaborate on research projects.
commence,/kəˈmens/,เริ่มต้น เปิดการ,verb,The ceremony will commence at noon.
compensate,/ˈkɒmpenseɪt/,ชดเชย ทดแทน,verb,The company compensated for the delay.
compile,/kəmˈpaɪl/,รวบรวม จัดทำ,verb,She compiled a list of references.
complement,/ˈkɒmplɪmənt/,เติมเต็ม ส่วนประกอบ,verb/noun,The wine complements the meal perfectly.
comprehensive,/ˌkɒmprɪˈhensɪv/,ครอบคลุม ละเอียดถี่ถ้วน,adjective,The report provides comprehensive coverage.
comprise,/kəmˈpraɪz/,ประกอบด้วย รวมถึง,verb,The team comprises five members.
conceive,/kənˈsiːv/,คิดขึ้น ตั้งครรภ์,verb,It's hard to conceive such a plan.
concurrent,/kənˈkʌrənt/,เกิดขึ้นพร้อมกัน ไปพร้อมกัน,adjective,There were concurrent events happening.
condemn,/kənˈdem/,ประณาม ตำหนิ,verb,The court condemned his actions.
confer,/kənˈfɜː/,ปรึกษา มอบให้,verb,The degree was conferred upon him.
confine,/kənˈfaɪn/,จำกัด กักขัง,verb,Please confine your comments to the topic.
conform,/kənˈfɔːm/,ปฏิบัติตาม เข้ากับ,verb,Students must conform to school rules.
consecutive,/kənˈsekjətɪv/,ต่อเนื่อง ติดต่อกัน,adjective,It rained for three consecutive days.
consensus,/kənˈsensəs/,ความเห็นพ้อง ฉันทามติ,noun,We reached a consensus on the issue.
constitute,/ˈkɒnstɪtjuːt/,ประกอบเป็น เป็นส่วนหนึ่ง,verb,These factors constitute a major problem.
constrain,/kənˈstreɪn/,บังคับ จำกัด,verb,Budget constraints limited our options.
contemplate,/ˈkɒntəmpleɪt/,ใคร่ครวญ พิจารณา,verb,She contemplated her future career.
contemporary,/kənˈtempərəri/,ร่วมสมัย ปัจจุบัน,adjective,Contemporary art is very diverse.
contradict,/ˌkɒntrəˈdɪkt/,ขัดแย้ง โต้แย้ง,verb,His actions contradict his words.
controversy,/ˈkɒntrəvɜːsi/,ความขัดแย้ง การโต้เถียง,noun,The decision caused much controversy.
convert,/kənˈvɜːt/,เปลี่ยน แปลง,verb,They converted the garage into an office.
convey,/kənˈveɪ/,ถ่ายทอด ส่งต่อ,verb,His speech conveyed deep emotion.
coordinate,/kəʊˈɔːdɪneɪt/,ประสานงาน จัดการ,verb,She coordinates the volunteer program.
correspond,/ˌkɒrɪˈspɒnd/,สอดคล้อง ติดต่อ,verb,The results correspond to our predictions.
criteria,/kraɪˈtɪəriə/,เกณฑ์ มาตรฐาน,noun,What are the criteria for selection?
crucial,/ˈkruːʃəl/,สำคัญมาก จำเป็น,adjective,This is a crucial decision.
cumulative,/ˈkjuːmjələtɪv/,สะสม เพิ่มขึ้นเรื่อยๆ,adjective,The cumulative effect was significant.
currency,/ˈkʌrənsi/,สกุลเงิน ความนิยม,noun,The euro is a common currency.
curriculum,/kəˈrɪkjələm/,หลักสูตร แผนการเรียน,noun,The school updated its curriculum.
debate,/dɪˈbeɪt/,อภิปราย โต้วาที,noun/verb,There was a heated debate about the issue.
decade,/ˈdekeɪd/,ทศวรรษ สิบปี,noun,The project took a decade to complete.
decline,/dɪˈklaɪn/,ลดลง ปฏิเสธ,verb/noun,Sales declined last quarter.
deduce,/dɪˈdjuːs/,อนุมาน สรุป,verb,We can deduce the answer from the evidence.
deficiency,/dɪˈfɪʃənsi/,การขาดแคลน ข้อบกพร่อง,noun,Vitamin deficiency can cause health problems.
definitive,/dɪˈfɪnətɪv/,ชัดเจน เด็ดขาด,adjective,We need a definitive answer.
demonstrate,/ˈdemənstreɪt/,แสดงให้เห็น พิสูจน์,verb,The experiment demonstrates the theory.
denote,/dɪˈnəʊt/,หมายถึง แสดงถึง,verb,Red lights denote danger.
derive,/dɪˈraɪv/,ได้มาจาก มาจาก,verb,The word derives from Latin.
detect,/dɪˈtekt/,ตรวจพบ ค้นหา,verb,The device can detect radiation.
deviate,/ˈdiːvieɪt/,เบี่ยงเบน ผิดปกติ,verb,Don't deviate from the plan.
differentiate,/ˌdɪfəˈrenʃieɪt/,แยกแยะ ทำให้แตกต่าง,verb,It's hard to differentiate between the twins.
dimension,/daɪˈmenʃən/,มิติ ขนาด,noun,The problem has many dimensions.
diminish,/dɪˈmɪnɪʃ/,ลดลง ทำให้น้อยลง,verb,The pain will diminish over time.
discrete,/dɪˈskriːt/,แยกจากกัน ไม่ต่อเนื่อง,adjective,The data consists of discrete values.
discriminate,/dɪˈskrɪmɪneɪt/,เลือกปฏิบัติ แยกแยะ,verb,It's illegal to discriminate based on race.
displace,/dɪsˈpleɪs/,แทนที่ ย้ายที่,verb,The new technology displaced old methods.
dispose,/dɪˈspəʊz/,กำจัด จัดการ,verb,Please dispose of waste properly.
distinct,/dɪˈstɪŋkt/,แตกต่าง ชัดเจน,adjective,Each species has distinct characteristics.
distort,/dɪˈstɔːt/,บิดเบือน ทำให้ผิดรูป,verb,The mirror distorts your reflection.
diverse,/daɪˈvɜːs/,หลากหลาย แตกต่างกัน,adjective,The city has a diverse population.
domain,/dəˈmeɪn/,ขอบเขต อาณาเขต,noun,This falls within my domain of expertise.
domestic,/dəˈmestɪk/,ภายในประเทศ ในบ้าน,adjective,Domestic flights are cheaper.
dominate,/ˈdɒmɪneɪt/,ครอบงำ มีอำนาจเหนือ,verb,One team dominated the game.
duration,/djuˈreɪʃən/,ระยะเวลา ช่วงเวลา,noun,The duration of the course is six months.
dynamic,/daɪˈnæmɪk/,เปลี่ยนแปลง มีพลัง,adjective,She has a dynamic personality.
economy,/ɪˈkɒnəmi/,เศรษฐกิจ การประหยัด,noun,The economy is growing steadily.
element,/ˈelɪmənt/,องค์ประกอบ ธาตุ,noun,Water contains two elements: hydrogen and oxygen.
eliminate,/ɪˈlɪmɪneɪt/,กำจัด ขจัด,verb,We need to eliminate errors.
emerge,/ɪˈmɜːdʒ/,โผล่ออกมา เกิดขึ้น,verb,New technologies emerge constantly.
emphasis,/ˈemfəsɪs/,การเน้น ความสำคัญ,noun,The emphasis is on quality.
empirical,/ɪmˈpɪrɪkəl/,เชิงประจักษ์ จากการทดลอง,adjective,The theory needs empirical evidence.
enable,/ɪˈneɪbəl/,ทำให้สามารถ เปิดโอกาส,verb,Technology enables remote work.
encounter,/ɪnˈkaʊntə/,พบ เผชิญ,verb/noun,We encountered several problems.
enhance,/ɪnˈhɑːns/,เพิ่มพูน ปรับปรุง,verb,Exercise enhances your health.
enormous,/ɪˈnɔːməs/,มหาศาล ใหญ่โต,adjective,The project requires enormous effort.
ensure,/ɪnˈʃʊə/,ทำให้แน่ใจ รับประกัน,verb,Please ensure the door is locked.
entity,/ˈentəti/,หน่วย สิ่งที่มีอยู่,noun,The company is a legal entity.
equivalent,/ɪˈkwɪvələnt/,เท่าเทียม เสมอภาค,adjective/noun,This degree is equivalent to a master's.
erode,/ɪˈrəʊd/,กัดเซาะ ทำลาย,verb,Wind and rain erode the rocks.
establish,/ɪˈstæblɪʃ/,ก่อตั้ง สถาปนา,verb,They established the company in 1990.
estimate,/ˈestɪmeɪt/,ประมาณ คาดคะเน,verb/noun,I estimate it will take two hours.
ethnic,/ˈeθnɪk/,เชื้อชาติ กลุ่มชาติพันธุ์,adjective,The city has many ethnic communities.
evaluate,/ɪˈvæljueɪt/,ประเมิน ตีราคา,verb,Teachers evaluate student performance.
eventual,/ɪˈventʃuəl/,ในที่สุด ท้ายที่สุด,adjective,The eventual outcome was positive.
evident,/ˈevɪdənt/,ชัดเจน เห็นได้ชัด,adjective,It's evident that he's tired.
evolve,/ɪˈvɒlv/,วิวัฒนาการ พัฒนา,verb,Species evolve over time.
exceed,/ɪkˈsiːd/,เกิน เหนือกว่า,verb,The costs exceeded our budget.
exclude,/ɪkˈskluːd/,ไม่รวม แยกออก,verb,The price excludes tax.
exhibit,/ɪɡˈzɪbɪt/,แสดง จัดแสดง,verb/noun,The museum exhibits ancient artifacts.
expand,/ɪkˈspænd/,ขยาย เพิ่มขนาด,verb,The company plans to expand overseas.
